loss,accuracy,auc,val_loss,val_accuracy,val_auc
1.0870310068130493,0.5,0.597599983215332,0.9346420168876648,0.75,0.9333332777023315
0.9373345971107483,0.5799999833106995,0.7983999848365784,0.8522593975067139,1.0,1.0
0.8028595447540283,0.8600000143051147,0.9391999840736389,0.79789137840271,0.875,1.0
0.8133527636528015,0.8399999737739563,0.9359999895095825,0.7504215240478516,0.875,1.0
0.7735535502433777,0.800000011920929,0.925599992275238,0.7140135169029236,0.875,1.0
0.7870784997940063,0.7400000095367432,0.8616000413894653,0.6826810240745544,0.875,1.0
0.7371629476547241,0.8799999952316284,0.9544000029563904,0.6609982848167419,0.875,1.0
0.6987687945365906,0.8399999737739563,0.9432000517845154,0.6439663171768188,0.875,1.0
0.7023464441299438,0.8999999761581421,0.9535999894142151,0.6304701566696167,0.875,1.0
0.6831076741218567,0.8600000143051147,0.9496000409126282,0.6181640625,0.875,1.0
0.6861364245414734,0.8799999952316284,0.897599995136261,0.6071157455444336,0.875,0.9999999403953552
0.666658878326416,0.8999999761581421,0.9528000354766846,0.5972740650177002,0.875,1.0
0.6271083950996399,0.8999999761581421,0.9528000354766846,0.588232159614563,0.875,1.0
0.5996169447898865,0.9399999976158142,0.9943999648094177,0.5789171457290649,0.875,1.0
0.5692474246025085,0.9200000166893005,0.979200005531311,0.5713477730751038,0.875,1.0
0.578292965888977,0.8999999761581421,0.9752000570297241,0.5622091293334961,0.875,1.0
0.5107588768005371,0.9599999785423279,1.0,0.550388514995575,0.875,1.0
0.5399951338768005,0.9800000190734863,0.9983999729156494,0.5404866337776184,0.875,1.0
0.4659535884857178,1.0,1.0,0.5323805212974548,0.875,1.0
0.5244253277778625,0.9599999785423279,0.9807999730110168,0.5267535448074341,0.875,1.0
0.5015988945960999,0.9399999976158142,0.9879999756813049,0.52359938621521,0.875,1.0
0.45397141575813293,0.9399999976158142,0.9967999458312988,0.5222910046577454,0.875,1.0
0.4247574508190155,0.9800000190734863,1.0,0.519864022731781,0.875,1.0
0.42765486240386963,0.9800000190734863,1.0,0.5161051750183105,0.875,0.9999999403953552
0.49583324790000916,0.9399999976158142,0.9872000217437744,0.5118526816368103,0.875,1.0
0.4756148159503937,0.9399999976158142,0.9752000570297241,0.5106216669082642,0.875,0.9999999403953552
0.4026672840118408,0.9800000190734863,1.0,0.506747841835022,0.875,1.0
0.46533602476119995,0.9599999785423279,0.9935999512672424,0.503469705581665,0.875,1.0
0.4121638536453247,0.9800000190734863,0.9983999729156494,0.5074134469032288,0.875,1.0
0.48050105571746826,0.8999999761581421,0.9776000380516052,0.5104512572288513,0.875,1.0
0.4135376214981079,0.9800000190734863,1.0,0.510731041431427,0.875,1.0
0.37181052565574646,0.9800000190734863,0.9984000325202942,0.5123165249824524,0.875,1.0
0.392071008682251,0.9599999785423279,0.9983999729156494,0.5135480165481567,0.875,1.0
0.4423149824142456,0.9800000190734863,0.9687999486923218,0.5109730362892151,0.875,1.0
0.3693436086177826,0.9800000190734863,1.0,0.5095816254615784,0.875,1.0
0.3774171769618988,1.0,0.9999999403953552,0.5118106007575989,0.875,1.0
0.42883339524269104,0.9200000166893005,0.988800048828125,0.5215861201286316,0.875,0.9666666984558105
0.39983439445495605,0.9599999785423279,0.9968000054359436,0.528448224067688,0.875,0.9333332777023315
0.3925968110561371,0.9599999785423279,0.9991999864578247,0.5315400958061218,0.875,0.9333332777023315
0.3473098874092102,0.9800000190734863,1.0,0.5366659164428711,0.875,0.9333333373069763
0.36964908242225647,1.0,1.0,0.5408232808113098,0.875,0.9333333373069763
0.30616289377212524,1.0,1.0,0.5436012148857117,0.875,0.9333333373069763
0.32460176944732666,1.0,1.0,0.5440344214439392,0.875,0.9333333373069763
