,ApEn_force_d,SampEnt_force_d,mean_force,SD_force,CV_force,rms_force,media0a1_power_force,media1a4_power_force,media4a8_power_force,media8a16_power_force,media0a1_Npower_force,media1a4_Npower_force,media4a8_Npower_force,media8a16_Npower_force,ApEn_force_d_NF,SampEnt_force_d_NF,mean_force_NF,SD_force_NF,CV_force_NF,rms_force_NF,media0a1_power_force_NF,media1a4_power_force_NF,media4a8_power_force_NF,media8a16_power_force_NF,media0a1_Npower_force_NF,media1a4_Npower_force_NF,media4a8_Npower_force_NF,media8a16_Npower_force_NF,Classification
0,0.59428,0.5157200000000001,18.41411,1.32187,7.446860000000001,1.2477399999999998,0.29696,0.21782999999999997,0.027129999999999998,0.0054600000000000004,76.74962000000001,24.82572,2.03978,1.49065,0.68335,0.6341,18.92973,0.87091,4.5845,0.86069,0.14901,0.04427,0.0054800000000000005,0.0051400000000000005,81.6147,14.496949999999998,2.22697,1.96911,0
1,0.49666999999999994,0.40982,41.50274,1.1963599999999999,2.8976100000000002,1.15318,0.18880999999999998,0.033710000000000004,0.00307,0.002,88.71753,11.35261,1.18171,0.8246100000000001,0.47485999999999995,0.40786999999999995,40.675959999999996,0.9320599999999999,2.2831099999999998,2.2089399999999997,0.21638000000000002,0.0193,0.0023899999999999998,0.0018100000000000002,91.18817,6.29955,0.9178200000000001,0.71968,0
2,0.60541,0.5645100000000001,70.47398000000001,1.149,1.63294,1.3151,0.28857,0.06706999999999999,0.0064,0.00478,83.45626,15.9672,1.46224,1.0849600000000001,0.72506,0.6997500000000001,68.41905,0.92926,1.3552899999999999,2.6274,0.22603999999999996,0.08310999999999999,0.00853,0.00781,76.80091,21.00179,1.9389600000000002,1.93791,0
3,0.62566,0.44325000000000003,20.2147,0.43357,2.16209,0.4234,0.05842000000000001,0.00896,0.00159,0.00104,82.76019,7.760599999999999,4.59228,2.85197,0.7772,0.65096,19.11679,0.26239,1.36916,0.69013,0.0131,0.00377,0.0031,0.0009299999999999999,72.05424000000001,12.45599,9.905289999999999,3.2109900000000002,1
4,0.45292000000000004,0.31431,18.70161,1.18623,6.69576,1.3487900000000002,0.46916,0.07186000000000001,0.00255,0.00198,84.72617,13.845130000000001,1.52885,2.27968,0.58915,0.41906999999999994,18.66033,0.38235,2.10163,0.85674,0.027490000000000004,0.0030800000000000003,0.0006000000000000001,0.00126,76.27759,15.39179,3.26989,7.25312,0
5,0.38851,0.31162,26.556549999999998,2.80791,10.19883,1.99468,2.55431,0.65761,0.026860000000000002,0.00414,85.93551,14.59918,0.91565,0.19768999999999998,0.19562,0.15739,27.04939,2.20352,7.84904,2.97847,2.11506,0.34236999999999995,0.01422,0.0026,85.45905,8.919599999999999,0.9191499999999999,0.21679999999999996,1
6,0.67725,0.5514,20.01059,0.8859600000000001,4.08655,1.02549,0.71544,0.07785,0.0019,0.00246,87.82596,9.10923,1.68467,3.09045,0.7507400000000001,0.60399,19.88914,0.38312,1.93076,0.67476,0.03381,0.004370000000000001,0.0010700000000000002,0.0018,83.40414,9.77417,2.34117,3.93031,0
7,0.49427000000000004,0.37621000000000004,26.411880000000004,0.9459299999999999,3.5777099999999997,0.94633,0.23815,0.05619,0.0018599999999999999,0.0017100000000000001,89.17127,12.23763,0.91518,0.7301300000000001,0.53559,0.45566000000000006,25.715960000000003,0.68637,2.64059,1.7478799999999999,0.10055,0.009420000000000001,0.0015400000000000001,0.0012000000000000001,88.36436,8.21036,1.5264900000000001,0.9768800000000001,0
8,0.53366,0.41413,23.24709,0.91564,3.97072,0.88247,0.17573,0.03819,0.00279,0.00202,90.20313,11.120949999999999,1.07783,1.05769,0.64975,0.48703,23.01772,0.45153,1.89837,1.18754,0.07746,0.00437,0.00109,0.0012000000000000001,87.99438,6.9206199999999995,1.9868700000000001,2.3706199999999997,0
9,0.16715,0.11151,31.274160000000002,9.164719999999999,26.74932,8.261,27.69332,1.14192,0.06443,0.04469,88.17332999999999,2.68626,0.319,0.26313,0.6897800000000001,0.6156200000000001,30.758409999999998,0.75842,2.60868,2.12179,0.19658,0.030059999999999996,0.00543,0.00275,87.5789,9.72658,1.60471,0.90933,1
10,0.48307,0.36443,16.142599999999998,1.12277,7.25805,0.98781,0.7704600000000001,0.10495999999999998,0.00277,0.00206,88.5232,12.16712,0.80388,1.01219,0.66648,0.5321100000000001,14.84195,0.45640000000000003,3.1194100000000002,1.57478,0.05584,0.00958,0.00112,0.00129,86.35951,10.91608,1.35678,1.55264,0
11,0.5809599999999999,0.5082099999999999,39.64092,1.5120099999999999,3.82209,0.96958,0.4029,0.24020999999999998,0.01091,0.00572,75.89615,26.99773,1.4382,0.73736,0.48362999999999995,0.41375,38.804590000000005,1.30203,3.34272,2.4081599999999996,0.46688,0.05058,0.00572,0.00417,91.48999,6.91812,0.86114,0.57205,0
12,0.6120300000000001,0.5326000000000001,21.966160000000002,1.15648,5.70385,1.1154,0.33566,0.13342,0.0031,0.00263,84.85027,17.63559,0.92696,1.0734299999999999,0.56376,0.48122,20.92325,1.1479599999999999,5.53617,1.74601,0.38226,0.03338,0.0037600000000000003,0.0034799999999999996,86.89328,10.61084,1.26814,1.07772,0
